codigo,nome_do_curso,total_vagas,inscritos,cv,ano
301.0,administracao  diurno,90.0,850.0,9.44,2002
316.0,administracao  noturno,90.0,1163.0,12.92,2002
501.0,agronomia,90.0,639.0,7.1,2002
207.0,arquitetura e urbanismo,80.0,1204.0,15.05,2002
324.0,biblioteconomia  noturno,80.0,327.0,4.09,2002
108.0,ciencias biologicas,60.0,1100.0,18.33,2002
302.0,ciencias contabeis  diurno,80.0,361.0,4.51,2002
317.0,ciencias contabeis  noturno,80.0,875.0,10.94,2002
208.0,ciencias da computacao,100.0,1304.0,13.04,2002
304.0,ciencias economicas  diurno,90.0,360.0,4.0,2002
318.0,ciencias economicas  noturno,90.0,555.0,6.17,2002
310.0,ciencias sociais  diurno,40.0,205.0,5.13,2002
320.0,ciencias sociais  noturno,40.0,206.0,5.15,2002
420.0,comunicacao e expressao visual,60.0,907.0,15.12,2002
303.0,direito  diurno,80.0,1242.0,15.53,2002
5.0,direito  noturno,80.0,1559.0,19.49,2002
404.0,educacao fisica,100.0,1193.0,11.93,2002
101.0,enfermagem,70.0,841.0,12.01,2002
220.0,eng de controle e automacao industrial,60.0,900.0,15.0,2002
201.0,engenharia civil,100.0,737.0,7.37,2002
215.0,engenharia de alimentos,45.0,377.0,8.38,2002
234.0,engenharia de aquicultura,60.0,394.0,6.57,2002
233.0,engenharia de materiais,60.0,278.0,4.63,2002
212.0,engenharia de producao civil,35.0,348.0,9.94,2002
213.0,engenharia de producao eletrica,35.0,248.0,7.09,2002
214.0,engenharia de producao mecanica,35.0,252.0,7.2,2002
202.0,engenharia eletrica,100.0,1172.0,11.72,2002
203.0,engenharia mecanica,100.0,956.0,9.56,2002
216.0,engenharia quimica,45.0,386.0,8.58,2002
211.0,engenharia sanitaria e ambiental,80.0,515.0,6.44,2002
106.0,farmacia  analises clinicas,80.0,1023.0,12.79,2002
107.0,farmacia  tecnologia de alimentos,40.0,653.0,16.33,2002
329.0,filosofia  noturno,35.0,144.0,4.11,2002
328.0,filosofia  vespertinonoturno,35.0,131.0,3.74,2002
2.0,fisica  bacharelado  diurno,45.0,168.0,3.73,2002
225.0,fisica  licenciatura  noturno,65.0,200.0,3.08,2002
331.0,geografia  diurno,40.0,198.0,4.95,2002
332.0,geografia  noturno,40.0,293.0,7.33,2002
326.0,historia  diurno,45.0,197.0,4.38,2002
327.0,historia  noturno,45.0,279.0,6.2,2002
415.0,jornalismo,52.0,1229.0,23.63,2002
421.0,letras  lingua alema  diurno,30.0,30.0,1.0,2002
422.0,letras  lingua alema  noturno,30.0,60.0,2.0,2002
423.0,letras  lingua espanhola,30.0,101.0,3.37,2002
424.0,letras  lingua francesa,40.0,157.0,3.93,2002
425.0,letras  lingua inglesa,30.0,204.0,6.8,2002
427.0,letras  lingua italiana,30.0,42.0,1.4,2002
428.0,letras  lingua portuguesa,40.0,95.0,2.38,2002
426.0,letras  lingua portuguesanoturno,40.0,96.0,2.4,2002
419.0,letras  secretariado executivo bilingue,30.0,542.0,18.07,2002
223.0,matematica  licenciatura  diurno,65.0,193.0,2.97,2002
224.0,matematica  licenciatura  noturno,40.0,165.0,4.13,2002
222.0,matematica e computacao cientifica,30.0,150.0,5.0,2002
103.0,medicina,100.0,4280.0,42.8,2002
9.0,nutricao,40.0,698.0,17.45,2002
104.0,odontologia,90.0,1482.0,16.47,2002
308.0,pedagogia,100.0,592.0,5.92,2002
319.0,psicologia,80.0,1250.0,15.63,2002
217.0,quimica,80.0,370.0,4.63,2002
309.0,servico social  diurno,80.0,390.0,4.88,2002
339.0,servico social  noturno,60.0,428.0,7.13,2002
238.0,sistemas de informacao  noturno,100.0,1009.0,10.09,2002
301.0,administracao  diurno,90.0,973.0,10.81,2003
316.0,administracao  noturno,90.0,1218.0,13.53,2003
501.0,agronomia,90.0,734.0,8.16,2003
207.0,arquitetura e urbanismo,80.0,1373.0,17.16,2003
324.0,biblioteconomia  noturno,80.0,265.0,3.31,2003
108.0,ciencias biologicas,60.0,1331.0,22.18,2003
302.0,ciencias contabeis  diurno,80.0,547.0,6.84,2003
317.0,ciencias contabeis  noturno,80.0,624.0,7.8,2003
208.0,ciencias da computacao,100.0,1241.0,12.41,2003
304.0,ciencias economicas  diurno,90.0,426.0,4.73,2003
318.0,ciencias economicas  noturno,90.0,557.0,6.19,2003
310.0,ciencias sociais  diurno,40.0,175.0,4.38,2003
320.0,ciencias sociais  noturno,40.0,207.0,5.18,2003
420.0,comunicacao e expressao visual,60.0,990.0,16.5,2003
303.0,direito  diurno,80.0,1708.0,21.35,2003
5.0,direito  noturno,80.0,1450.0,18.13,2003
404.0,educacao fisica,120.0,1392.0,11.6,2003
101.0,enfermagem,70.0,838.0,11.97,2003
220.0,eng de controle e automacao industrial,60.0,932.0,15.53,2003
201.0,engenharia civil,100.0,687.0,6.87,2003
215.0,engenharia de alimentos,45.0,459.0,10.2,2003
234.0,engenharia de aquicultura,60.0,440.0,7.33,2003
233.0,engenharia de materiais,60.0,204.0,3.4,2003
212.0,engenharia de producao civil,35.0,123.0,3.51,2003
213.0,engenharia de producao eletrica,35.0,155.0,4.43,2003
214.0,engenharia de producao mecanica,35.0,242.0,6.91,2003
202.0,engenharia eletrica,100.0,933.0,9.33,2003
203.0,engenharia mecanica,100.0,1045.0,10.45,2003
216.0,engenharia quimica,45.0,371.0,8.24,2003
211.0,engenharia sanitaria e ambiental,80.0,939.0,11.74,2003
106.0,farmacia  analises clinicas,80.0,1008.0,12.6,2003
107.0,farmacia  tecnologia de alimentos,40.0,236.0,5.9,2003
329.0,filosofia  noturno,35.0,135.0,3.86,2003
328.0,filosofia  vespertinonoturno,35.0,111.0,3.17,2003
2.0,fisica  bacharelado  diurno,45.0,163.0,3.62,2003
225.0,fisica  licenciatura  noturno,65.0,249.0,3.83,2003
331.0,geografia  diurno,40.0,282.0,7.05,2003
332.0,geografia  noturno,40.0,262.0,6.55,2003
326.0,historia  diurno,45.0,298.0,6.62,2003
327.0,historia  noturno,45.0,265.0,5.89,2003
415.0,jornalismo,60.0,1346.0,22.43,2003
421.0,letras  lingua alema  diurno,60.0,156.0,2.6,2003
423.0,letras  lingua espanhola,30.0,157.0,5.23,2003
424.0,letras  lingua francesa,40.0,87.0,2.18,2003
425.0,letras  lingua inglesa,30.0,281.0,9.37,2003
427.0,letras  lingua italiana,30.0,114.0,3.8,2003
428.0,letras  lingua portuguesa,40.0,213.0,5.33,2003
426.0,letras  lingua portuguesanoturno,40.0,278.0,6.95,2003
419.0,letras  secretariado executivo ingles,40.0,233.0,5.83,2003
223.0,matematica  licenciatura  diurno,65.0,293.0,4.51,2003
224.0,matematica  licenciatura  noturno,40.0,197.0,4.93,2003
222.0,matematica e computacao cientifica,30.0,117.0,3.9,2003
103.0,medicina,100.0,4765.0,47.65,2003
9.0,nutricao,40.0,927.0,23.18,2003
104.0,odontologia,90.0,1333.0,14.81,2003
308.0,pedagogia,100.0,652.0,6.52,2003
319.0,psicologia,80.0,1412.0,17.65,2003
217.0,quimica,80.0,384.0,4.8,2003
309.0,servico social  diurno,80.0,489.0,6.11,2003
339.0,servico social  noturno,60.0,368.0,6.13,2003
238.0,sistemas de informacao  noturno,100.0,971.0,9.71,2003
301.0,administracao  diurno,90.0,841.0,9.34,2004
316.0,administracao  noturno,90.0,1017.0,11.3,2004
501.0,agronomia,90.0,661.0,7.34,2004
207.0,arquitetura e urbanismo,80.0,1265.0,15.81,2004
324.0,biblioteconomia  noturno,80.0,406.0,5.08,2004
