texto,valor,ano
numero de candidatos inscritos,41303.0,2003
numero de candidatos por experiencia,942.0,2003
numero de candidatos concorrentes,40361.0,2003
indice de abstencao na prova i,14.1,2003
indice de abstencao na prova ii,15.45,2003
indice de abstencao na prova iii,16.49,2003
indice geral de abstencao,16.49,2003
total de aprovados  classificados,3880.0,2003
total de aprovados  nao classificados,20563.0,2003
total de reprovados,16860.0,2003
reprovados por falta,6773.0,2003
reprovados na redacao,108.0,2003
reprovados em portugues,2780.0,2003
reprovados por insuficiencia de acertos,3102.0,2003
sem 2o grau  por experiencia,942.0,2003
reprovados ptg e insuficiencia acertos,3160.0,2003
total de vagas oferecidas,3880.0,2003
vagas ocupadas na opcao 1,3528.0,2003
vagas ocupadas na opcao 1a,352.0,2003
vagas ocupadas na opcao 2,0.0,2003
total de vagas ocupadas,3880.0,2003
total de isencoes requeridas,3720.0,2003
total de isencoes concedidas,2230.0,2003
total de isentos inscritos,2010.0,2003
total de isentos classificados,155.0,2003
numero de candidatos inscritos,38862.0,2004
numero de candidatos por experiencia,1167.0,2004
numero de candidatos concorrentes,37695.0,2004
indice de abstencao na prova i,9.19,2004
indice de abstencao na prova ii,10.61,2004
indice geral de abstencao,10.61,2004
total de aprovados  classificados,3890.0,2004
total de aprovados  nao classificados,17692.0,2004
total de reprovados,17280.0,2004
reprovados por falta,4069.0,2004
reprovados na redacao,100.0,2004
reprovados em portugues,4769.0,2004
reprovados por insuficiencia de acertos,3138.0,2004
sem 2o grau  por experiencia,1167.0,2004
reprovados ptg e insuficiencia acertos,4042.0,2004
total de vagas oferecidas,3890.0,2004
vagas ocupadas na opcao 1,3542.0,2004
vagas ocupadas na opcao 1a,348.0,2004
vagas ocupadas na opcao 2,0.0,2004
total de vagas ocupadas,3890.0,2004
total de isencoes requeridas,4525.0,2004
total de isencoes concedidas,2734.0,2004
total de isentos inscritos,2239.0,2004
total de isentos classificados,170.0,2004
numero de candidatos inscritos,41322.0,2005
numero de candidatos por experiencia,1190.0,2005
numero de candidatos concorrentes,40132.0,2005
indice de abstencao na prova 1,9.7,2005
indice de abstencao na prova 2,11.28,2005
indice geral de abstencao,11.28,2005
total de aprovados  classificados,3920.0,2005
total de aprovados  nao classificados,20622.0,2005
total de reprovados,16780.0,2005
reprovados por falta,4616.0,2005
reprovados na redacao,198.0,2005
reprovados em portugues,1095.0,2005
reprovados por insuficiencia de acertos,7036.0,2005
sem ensino medio  por experiencia,1190.0,2005
reprovados ptg e insuficiencia acertos,2645.0,2005
total de vagas oferecidas,3920.0,2005
vagas ocupadas na opcao 1,3578.0,2005
vagas ocupadas na opcao 1a,342.0,2005
vagas ocupadas na opcao 2,0.0,2005
total de vagas ocupadas,3920.0,2005
total de isencoes requeridas,3766.0,2005
total de isencoes concedidas,2999.0,2005
total de isentos inscritos,2469.0,2005
total de isentos classificados,185.0,2005
numero de candidatos inscritos,33774.0,2006
numero de candidatos por experiencia,1317.0,2006
numero de candidatos concorrentes,32457.0,2006
indice de abstencao na prova 1,10.91,2006
indice de abstencao na prova 2,11.59,2006
indice de abstencao na prova 3,11.95,2006
indice geral de abstencao,11.95,2006
total de aprovados  classificados,3920.0,2006
total de aprovados  nao classificados,20950.0,2006
total de reprovados,8904.0,2006
reprovados por falta,3988.0,2006
reprovados na redacao,600.0,2006
reprovados em portugues,869.0,2006
reprovados por insuficiencia de acertos,816.0,2006
sem ensino medio  por experiencia,1317.0,2006
reprovados ptg e insuficiencia acertos,229.0,2006
reprovados por zero em uma ou mais disciplinas,659.0,2006
reprovados por zero e reprovados em ptg,75.0,2006
reprovados por zero e insuficiencia de acertos,193.0,2006
reprovados por zeroem ptg e insuficiencia de acertos,158.0,2006
total de vagas oferecidas,3920.0,2006
vagas ocupadas na opcao 1,3606.0,2006
vagas ocupadas na opcao 1a,314.0,2006
vagas ocupadas na opcao 2,0.0,2006
total de vagas ocupadas,3920.0,2006
total de isencoes requeridas,2992.0,2006
total de isencoes concedidas,2520.0,2006
total de isentos inscritos,2368.0,2006
total de isentos classificados,158.0,2006
numero de candidatos inscritos,30133.0,2007
numero de candidatos por experiencia,1286.0,2007
numero de candidatos concorrentes,28847.0,2007
indice de abstencao na prova 1,11.49,2007
indice de abstencao na prova 2,12.06,2007
indice de abstencao na prova 3,12.4,2007
indice geral de abstencao,12.4,2007
total de aprovados  classificados,3920.0,2007
total de aprovados  nao classificados,15174.0,2007
total de reprovados,11039.0,2007
reprovados por falta,3691.0,2007
reprovados na redacao,193.0,2007
reprovados em portugues,2172.0,2007
reprovados por insuficiencia de acertos,910.0,2007
reprovados ptg e insuficiencia acertos,1028.0,2007
reprovados por zero em uma ou mais disciplinas,721.0,2007
reprovados por zero e reprovados em ptg,176.0,2007
reprovados por zero e insuficiencia de acertos,363.0,2007
reprovados por zeroem ptg e insuficiencia de acertos,488.0,2007
reprovados por zero no conjunto das discursivas,6.0,2007
reprovados por zero no conjunto das discursivas e rdc,5.0,2007
total de vagas oferecidas,3920.0,2007
vagas ocupadas na opcao 1,3594.0,2007
vagas ocupadas na opcao 1a,326.0,2007
vagas ocupadas na opcao 2,0.0,2007
total de vagas ocupadas,3920.0,2007
total de isencoes requeridas,3466.0,2007
total de isencoes concedidas,2631.0,2007
total de isentos inscritos,2443.0,2007
total de isentos classificados,212.0,2007
numero de candidatos inscritos,30612.0,2008
numero de candidatos por experiencia,1419.0,2008
numero de candidatos concorrentes,29193.0,2008
indice de abstencao na prova 1,11.54,2008
indice de abstencao na prova 2,12.09,2008
indice de abstencao na prova 3,12.53,2008
indice geral de abstencao,12.53,2008
total de aprovados  classificados,4098.0,2008
total de aprovados  nao classificados,18423.0,2008
total de reprovados,8091.0,2008
reprovados por falta,3786.0,2008
reprovados na redacao,219.0,2008
reprovados em portugues,367.0,2008
reprovados por insuficiencia de acertos,1092.0,2008
reprovados ptg e insuficiencia acertos,252.0,2008
reprovados por zero em uma ou mais disciplinas,354.0,2008
reprovados por zero e reprovados em ptg,44.0,2008
reprovados por zero e insuficiencia de acertos,330.0,2008
reprovados por zeroem ptg e insuficiencia de acertos,158.0,2008
reprovados por zero no conjunto das discursivas,51.0,2008
reprovados por zero no conjunto das discursivas e rdc,19.0,2008
total de vagas oferecidas,4095.0,2008
vagas suplementares indigenas,3.0,2008
vagas ocupadas na opcao 1,3711.0,2008
vagas ocupadas na opcao 1a,334.0,2008
vagas ocupadas na opcao 2,53.0,2008
total de vagas ocupadas,4098.0,2008
total de isencoes requeridas,3200.0,2008
total de isencoes concedidas,2564.0,2008
total de isentos inscritos,2419.0,2008
total de isentos classificados,337.0,2008
numero de candidatos inscritos,30854.0,2009
numero de candidatos por experiencia,1522.0,2009
numero de candidatos concorrentes,29332.0,2009
indice de abstencao na prova 1,12.7,2009
indice de abstencao na prova 2,13.53,2009
indice de abstencao na prova 3,13.97,2009
indice geral de abstencao,13.97,2009
total de aprovados  classificados,4462.0,2009
total de aprovados  nao classificados,12236.0,2009
total de reprovados,14156.0,2009
reprovados por falta,4241.0,2009
reprovados na redacao,277.0,2009
reprovados em portugues,3410.0,2009
reprovados por insuficiencia de acertos,1424.0,2009
reprovados ptg e insuficiencia acertos,2780.0,2009
reprovados por zero em uma ou mais disciplinas,74.0,2009
reprovados por zero e reprovados em ptg,37.0,2009
reprovados por zero e insuficiencia de acertos,70.0,2009
reprovados por zeroem ptg e insuficiencia de acertos,289.0,2009
reprovados por zero no conjunto das discursivas,30.0,2009
reprovados por zero no conjunto das discursivas e rdc,2.0,2009
total de vagas oferecidas,4581.0,2009
vagas suplementares indigenas,2.0,2009
vagas ocupadas na opcao 1,4143.0,2009
vagas ocupadas na opcao 1a,319.0,2009
total de vagas ocupadas,4462.0,2009
total de isencoes requeridas,3295.0,2009
total de isencoes concedidas,2813.0,2009
total de isentos inscritos,2499.0,2009
total de isentos classificados,423.0,2009
numero de candidatos inscritos,32524.0,2010
numero de candidatos por experiencia,1116.0,2010
numero de candidatos concorrentes,31408.0,2010
indice de abstencao na prova 1,16.84,2010
indice de abstencao na prova 2,17.9,2010
indice de abstencao na prova 3,18.48,2010
indice geral de abstencao,18.48,2010
total de candidatos classificados,5310.0,2010
total de candidatos em lista de espera,15587.0,2010
total de candidatos reprovados,16196.0,2010
total de candidatos concorrentes,4569.0,2010
total de candidatos classificados,406.0,2010
total de candidatos em lista de espera,4163.0,2010
