codigo,nome_do_curso,acertos_do_primeiro,acertos_do_ultimo,total_de_vagas,ano
301.0,administracao  diurno,81.67,60.02,90.0,2002
316.0,administracao  noturno,77.43,58.66,90.0,2002
501.0,agronomia,79.61,50.17,90.0,2002
207.0,arquitetura e urbanismo,81.87,66.17,80.0,2002
324.0,biblioteconomia  noturno,81.73,31.21,80.0,2002
108.0,ciencias biologicas,82.04,68.14,60.0,2002
302.0,ciencias contabeis  diurno,69.97,45.34,80.0,2002
317.0,ciencias contabeis  noturno,76.65,47.86,80.0,2002
208.0,ciencias da computacao,88.26,66.68,100.0,2002
304.0,ciencias economicas  diurno,78.93,49.1,90.0,2002
318.0,ciencias economicas  noturno,73.4,48.63,90.0,2002
310.0,ciencias sociais  diurno,72.45,52.79,40.0,2002
320.0,ciencias sociais  noturno,75.78,48.5,40.0,2002
420.0,comunicacao e expressao visual,81.87,65.52,60.0,2002
303.0,direito  diurno,93.51,75.16,80.0,2002
5.0,direito  noturno,89.17,72.24,80.0,2002
404.0,educacao fisica,79.87,50.9,100.0,2002
101.0,enfermagem,71.86,54.68,70.0,2002
220.0,eng de controle e automacao industrial,96.04,77.09,60.0,2002
201.0,engenharia civil,81.05,62.04,100.0,2002
215.0,engenharia de alimentos,83.26,65.09,45.0,2002
234.0,engenharia de aquicultura,77.26,54.65,60.0,2002
233.0,engenharia de materiais,88.01,65.1,60.0,2002
212.0,engenharia de producao civil,82.37,58.92,35.0,2002
213.0,engenharia de producao eletrica,82.73,68.75,35.0,2002
214.0,engenharia de producao mecanica,84.79,71.29,35.0,2002
202.0,engenharia eletrica,89.42,71.13,100.0,2002
203.0,engenharia mecanica,87.11,71.45,100.0,2002
216.0,engenharia quimica,80.75,66.34,45.0,2002
211.0,engenharia sanitaria e ambiental,78.21,62.05,80.0,2002
106.0,farmacia  analises clinicas,81.39,67.15,80.0,2002
107.0,farmacia  tecnologia de alimentos,76.7,62.38,40.0,2002
329.0,filosofia  noturno,78.24,44.19,35.0,2002
328.0,filosofia  vespertinonoturno,74.69,33.69,35.0,2002
2.0,fisica  bacharelado  diurno,79.57,50.82,45.0,2002
225.0,fisica  licenciatura  noturno,79.99,38.46,65.0,2002
331.0,geografia  diurno,65.32,48.23,40.0,2002
332.0,geografia  noturno,71.41,45.77,40.0,2002
326.0,historia  diurno,76.03,47.75,45.0,2002
327.0,historia  noturno,75.37,48.38,45.0,2002
415.0,jornalismo,90.51,73.9,52.0,2002
421.0,letras  lingua alema  diurno,59.95,31.94,30.0,2002
422.0,letras  lingua alema  noturno,53.81,35.78,30.0,2002
423.0,letras  lingua espanhola,69.22,40.5,30.0,2002
424.0,letras  lingua francesa,67.95,42.51,40.0,2002
425.0,letras  lingua inglesa,74.35,54.15,30.0,2002
427.0,letras  lingua italiana,58.44,34.29,30.0,2002
428.0,letras  lingua portuguesa,78.9,44.91,40.0,2002
426.0,letras  lingua portuguesanoturno,66.46,38.55,40.0,2002
419.0,letras  secretariado executivo bilingue,71.38,53.13,30.0,2002
223.0,matematica  licenciatura  diurno,74.38,32.06,65.0,2002
224.0,matematica  licenciatura  noturno,63.47,37.16,40.0,2002
222.0,matematica e computacao cientifica,74.52,42.49,30.0,2002
103.0,medicina,94.72,84.53,100.0,2002
9.0,nutricao,83.73,66.5,40.0,2002
104.0,odontologia,87.91,70.1,90.0,2002
308.0,pedagogia,64.21,40.27,100.0,2002
319.0,psicologia,84.47,63.85,80.0,2002
217.0,quimica,85.32,49.37,80.0,2002
309.0,servico social  diurno,59.26,40.21,80.0,2002
339.0,servico social  noturno,67.37,40.98,60.0,2002
238.0,sistemas de informacao  noturno,81.21,64.08,100.0,2002
301.0,administracao  diurno,87.91,60.23,90.0,2003
316.0,administracao  noturno,76.93,57.83,90.0,2003
501.0,agronomia,79.35,51.94,90.0,2003
207.0,arquitetura e urbanismo,87.9,68.86,80.0,2003
324.0,biblioteconomia  noturno,54.17,34.25,80.0,2003
108.0,ciencias biologicas,86.15,69.24,60.0,2003
302.0,ciencias contabeis  diurno,71.18,49.11,80.0,2003
317.0,ciencias contabeis  noturno,65.6,47.95,80.0,2003
208.0,ciencias da computacao,83.36,65.05,100.0,2003
304.0,ciencias economicas  diurno,87.51,51.5,90.0,2003
318.0,ciencias economicas  noturno,82.7,50.82,90.0,2003
310.0,ciencias sociais  diurno,85.63,50.23,40.0,2003
320.0,ciencias sociais  noturno,68.34,47.31,40.0,2003
420.0,comunicacao e expressao visual,92.14,64.38,60.0,2003
303.0,direito  diurno,90.07,74.05,80.0,2003
5.0,direito  noturno,92.28,70.61,80.0,2003
404.0,educacao fisica,76.01,51.31,120.0,2003
101.0,enfermagem,76.85,53.37,70.0,2003
220.0,eng de controle e automacao industrial,88.82,77.03,60.0,2003
201.0,engenharia civil,77.45,61.52,100.0,2003
215.0,engenharia de alimentos,86.03,64.07,45.0,2003
234.0,engenharia de aquicultura,78.91,54.05,60.0,2003
233.0,engenharia de materiais,79.4,59.52,60.0,2003
212.0,engenharia de producao civil,75.76,60.57,35.0,2003
213.0,engenharia de producao eletrica,78.92,65.96,35.0,2003
214.0,engenharia de producao mecanica,82.52,68.93,35.0,2003
202.0,engenharia eletrica,89.52,69.5,100.0,2003
203.0,engenharia mecanica,93.73,70.75,100.0,2003
216.0,engenharia quimica,89.07,66.97,45.0,2003
211.0,engenharia sanitaria e ambiental,86.29,64.04,80.0,2003
